MLC,MN,MC,Your computer slows down.,Your screen is inundated with annoying ads.,Your system crashes. ,You notice a mysterious loss of disk space.,There’s a weird increase in your system’s Internet activity.,Your browser settings change.,Your antivirus product stops working,You lose access to your files or your entire computer.,Advertisements appear in places they shouldn’t be.,Your web browser’s homepage has mysteriously changed without your permission.,Web pages that you typically visit are not displaying properly.,Your web browser slows to a crawl.,"New toolbars, extensions, or plugins suddenly populate your browser.",Your Mac starts automatically installing unwanted software applications.,Website links redirect to sites different from what you expected.,Your browser crashes.,Email errático,Clicou no primeiro link de pesquisa e notou algo de estranho depois.,"Notar vários erros de ortografia e gramática, enviado de um site aparentemente confiável.","Você perdeu acesso parcial ao teclado, mouse ou touchpad do seu computador.",Seus arquivos estão criptografados e estão com uma extensão diferente.,"Você recebeu e clicou em um e-mail e após isso, tem uma tela pedindo dinheiro para você."
12,1,Welchia,Virus,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
13,1,Shlayer,Virus,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
14,2,Fireball,Adware,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
15,2,Appearch,Adware,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
16,2,DollarRevenue,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
17,2,DeskAd,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
18,2,BuzzSearch,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
19,2,ChatZum,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
20,2,Clickorati,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
21,2,Dalesearch,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
22,2,Deal Boat,Adware,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
23,2,Deal Vault,Adware,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
24,2,DomaIQ,Adware,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
25,2,GadgetBox Search,Adware,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
26,2,Genieo Search,Adware,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
27,2,GetSavin,Adware,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
28,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,3,CoolWebSearch,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,3,Gator,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,3,Keyloggers,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,3,Internet Optimizer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,3,TIBS Dialer,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,3,Zlob,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,3,Advanced Keylogger,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,3,FinSpy (aka FinFisher),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,3,Gator (GAIN),Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,3,GO Keyboard,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,3,HawkEye,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,3,HuntBar,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,3,Look2Me,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,3,Pegasus,Spyware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,3,CoolWebSearch,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
127,3,Gator,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
128,3,Keyloggers,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
129,3,Internet Optimizer,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
130,3,TIBS Dialer,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
131,3,Zlob,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
132,3,Advanced Keylogger,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
133,3,FinSpy (aka FinFisher),Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
134,3,Gator (GAIN),Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
135,3,GO Keyboard,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
136,3,HawkEye,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
137,3,HuntBar,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
138,3,Look2Me,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
139,3,Pegasus,Spyware,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0
140,4,Spear phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,4,Clone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,4,419/scams nigerianos ,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,4,Phone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,4,Whaling,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,4,The Fake Invoice Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,4,Email Account Upgrade Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,4,Advance-fee Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,4,Google Docs Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,4,PayPal Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,4,Message From HR Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,4,Dropbox Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,4,The Council Tax Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,4,Unusual Activity Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,4,Spear phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,4,Clone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,4,419/scams nigerianos ,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,4,Phone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158,4,Whaling,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,4,The Fake Invoice Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,4,Email Account Upgrade Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,4,Advance-fee Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,4,Google Docs Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,4,PayPal Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,4,Message From HR Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,4,Dropbox Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,4,The Council Tax Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,4,Unusual Activity Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,4,Spear phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,4,Clone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,4,419/scams nigerianos ,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,4,Phone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,4,Whaling,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,4,The Fake Invoice Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,4,Email Account Upgrade Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,4,Advance-fee Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,4,Google Docs Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,4,PayPal Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,4,Message From HR Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,4,Dropbox Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,4,The Council Tax Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,4,Unusual Activity Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,4,Spear phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,4,Clone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,4,419/scams nigerianos ,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,4,Phone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,4,Whaling,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,4,The Fake Invoice Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,4,Email Account Upgrade Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,4,Advance-fee Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,4,Google Docs Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,4,PayPal Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,4,Message From HR Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,4,Dropbox Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,4,The Council Tax Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,4,Unusual Activity Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196,4,Spear phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,4,Clone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,4,419/scams nigerianos ,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,4,Phone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,4,Whaling,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,4,The Fake Invoice Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,4,Email Account Upgrade Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,4,Advance-fee Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204,4,Google Docs Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,4,PayPal Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,4,Message From HR Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207,4,Dropbox Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,4,The Council Tax Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,4,Unusual Activity Scam,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,4,Spear phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,4,Clone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,4,419/scams nigerianos ,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,4,Phone phishing,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,4,Whaling,Phishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
